session_id,session_date,customer_id,store_id,device_type,browser_os,session_purchase_made,session_duration_minutes,session_pages_visited,session_quality_score
SESSION_0001,5/1/2024,361,404,mobile,Edge|MacOS,FALSE,45,7,0.09
SESSION_0002,3/7/2024,385,402,desktop,Chrome|Windows,TRUE,69,12,0.28
SESSION_0003,6/1/2024,363,404,desktop,Chrome|Windows,FALSE,34,8,0.09
SESSION_0004,6/19/2024,344,402,mobile,Safari|iOS,FALSE,37,5,0.28
SESSION_0005,6/18/2024,332,404,mobile,Safari|iOS,FALSE,28,2,0.1
SESSION_0006,5/12/2024,332,404,mobile,Chrome|Android,FALSE,25,7,0.61
SESSION_0007,5/6/2024,366,403,tablet,Safari|iOS,FALSE,49,10,0.27
SESSION_0008,3/1/2024,378,402,desktop,Chrome|Windows,FALSE,72,10,0.31
SESSION_0009,4/28/2024,399,403,mobile,Chrome|Android,FALSE,46,12,0.58
SESSION_0010,4/7/2024,340,404,desktop,Chrome|Windows,TRUE,58,7,0.32
SESSION_0011,3/12/2024,332,402,desktop,Chrome|Windows,FALSE,71,11,0.37
SESSION_0012,4/20/2024,340,402,mobile,Chrome|Android,FALSE,65,14,0.32
SESSION_0013,3/29/2024,314,403,desktop,Chrome|Windows,FALSE,68,12,0.54
SESSION_0014,5/1/2024,370,402,mobile,Chrome|iOS,TRUE,48,7,0.31
SESSION_0015,6/29/2024,320,404,desktop,Firefox|MacOS,FALSE,16,6,0.13
SESSION_0016,5/9/2024,357,403,desktop,Chrome|MacOS,FALSE,32,4,0.31
SESSION_0017,5/14/2024,317,403,desktop,Safari|MacOS,TRUE,45,10,0.29
SESSION_0018,3/20/2024,366,404,tablet,Chrome|Android,FALSE,80,19,0.38
SESSION_0019,3/30/2024,313,404,desktop,Chrome|Windows,FALSE,61,15,0.1
SESSION_0020,4/15/2024,393,403,desktop,Safari|MacOS,FALSE,52,7,0.31
SESSION_0021,3/14/2024,399,402,desktop,Firefox|Windows,FALSE,74,17,0.31
SESSION_0022,3/31/2024,307,404,desktop,Firefox|Windows,FALSE,42,4,0.27
SESSION_0023,3/12/2024,375,402,desktop,Firefox|Linux,FALSE,65,13,0.1
SESSION_0024,5/5/2024,426,402,desktop,Chrome|Windows,FALSE,51,11,0.12
SESSION_0025,5/27/2024,399,403,desktop,Chrome|MacOS,FALSE,48,13,0.37
SESSION_0026,3/28/2024,356,403,desktop,Chrome|MacOS,FALSE,58,12,0.52
SESSION_0027,3/23/2024,318,403,desktop,Chrome|MacOS,FALSE,68,7,0.3
